text,label,FC,CC,TU,CP,R,DU,EE,FR
"Q: What is the experimental approach for measuring the running time of an algorithm?
A: You create and run  the algorithm multiple times, while measuring the amount of time it takes, you then average the results.",5,1,1,1,1,1,1,2,1
"Q: What is a tree?
A: an infinite set of nodes that have a root and descendants, and each addition is a leaf.",4,0,0,0,0,2,0,0,1
"Q: What is the difference between a function prototype and a function definition?
A: function prototype describe the class's public interface without revealing   the class's member function implementations,  function definitions show what   implementations are being done",4,0,0,0,0,2,0,0,1
"Q: What is a binary search tree?
A: a binary tree with a special organization of data. where the left child of the element is less than it, and the right child is larger than it.",5,1,1,1,1,1,1,0,2
"Q: How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?
A: all subsequent dimensions after the first dimension.  first is not needed to be specified.",5,1,1,1,1,1,1,0,1
"Q: What is a function signature?
A: is the name of the fuction, return type, and parameters that are being used",5,0,0,2,0,1,0,0,1
"Q: What are the main operations associated with a stack?
A: push and pop",5,1,1,1,1,1,1,0,1
"Q: How are overloaded functions differentiated by the compiler?
A: By the number, types, and order of their arguments",5,1,1,1,1,1,1,0,1
"Q: What does a function signature include?
A: the function's name and parameters",5,2,2,2,2,1,2,0,1
"Q: What are the two different ways of specifying the length of an array?
A: user defined value or by the number of elements in initializer list",5,2,2,0,0,1,2,0,1
"Q: What are the different ways to pass a pointer to a function?
A: Nonconstant pointer to nonconstant data, nonconstant pointer to constant data, constant pointer to nonconstant data, and constant pointer to constant data.",5,1,1,1,1,1,1,0,1
"Q: What is a leaf?
A: A leaf is a node with children, it is a terminating node.",2,0,0,0,0,1,0,0,1
"Q: What are the access-specifiers that can be used in a C++ class definition?
A: public or private",5,1,1,1,1,1,1,0,1
"Q: What is the main difference between a string of characters that is read into a variable of type string versus a variable of type char[]?
A: In arrays strings are stored as a characters (char[]), each character of string will be stored in each memory location of the array, while string of characters is only one memory location.",2,0,0,0,0,0,0,0,2
"Q: How are objects initialized when they are created?
A: they are initialized to 0",1,0,0,0,0,2,0,0,1
"Q: What is typically included in a class definition?
A: class name, two curly prenthesis, public and private",2,0,0,0,0,2,0,0,1
"Q: How many constructors can be created for a class?
A: several",4,0,0,2,0,1,0,0,1
"Q: What is a tree?
A: A finite number of nodes such that there is one root node, each node has a certain number of children nodes, and each child is also a tree",5,2,2,1,2,1,2,0,1
"Q: Where do C++ programs begin to execute?
A: In the Main function..?",5,1,1,1,2,1,1,0,1
"Q: What is a function pointer?
A: Points to the memory address of a function.  Kind of like breaking a branch off of a tree object and hitting other objects with it.",5,1,1,1,0,0,2,0,0
"Q: What is a recursive function?
A: A function that calls itself to perform a certain task",5,1,1,1,1,1,1,0,2
"Q: What is the main difference between a string of characters that is read into a variable of type string versus a variable of type char[]?
A: When the string is passed into the array char, individual characters are stored and can be manipulated.  Although when a word is stored into a string variable, it is stored as one word and not as individual characters.",2,0,0,2,0,2,0,0,2
"Q: What is the scope of global variables?
A: Global variables have file scope.",5,1,1,1,1,1,1,0,1
"Q: What is a pointer?
A: An element that references a memory cell",5,2,2,2,2,1,2,0,1
"Q: How does the compiler handle inline functions?
A: Ignores the inline qualifier and typically does so for all but the smallest functions.",3,2,0,1,1,1,2,0,1
"Q: In one sentence, what is the main idea implemented by insertion sort?
A: Take a number and choose a pivot point and insert the number in the correct position from the pivot point.",3,0,0,0,0,2,0,0,1
"Q: What is the main difference between a string of characters that is read into a variable of type string versus a variable of type char[]?
A: a string char[] adds a null value to the end of the string.",5,1,1,2,2,1,1,0,1
"Q: How are linked lists passed as arguments to a function?
A: Linked lists permit insertion and removal of nodes at any point in the list in constant time,[1] but do not allow random access.",2,0,0,0,0,0,0,0,0
"Q: How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?
A: at least 2, depending on how many arrays are being used.",2,0,0,0,0,2,0,0,1
"Q: What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?
A: very simplistic it moves one element from the list by one and inserting them in their correct position into a new slot then starting over. best case is (0)1",2,0,0,0,0,2,0,0,2
"Q: What is the main difference between strings declared using the type string versus strings declared using an array of characters?
A: when using an array individual characters can be accessed and manipulated.",2,0,0,2,2,0,0,0,1
"Q: What are the two main functions defined by a stack?
A: push and pop, push puts an object into the list, and pop takes the last object off.",5,1,1,1,1,1,1,1,1
"Q: What is the base case for a recursive implementation of merge sort?
A: The base case for a recursive implementation of merge sort is one.",5,1,2,1,2,1,0,0,1
"Q: Where are variables declared in a C++ program?
A: Global variables are declared in the body of the code. Local variables are declared in the function they are to be used (unless the function is being passed a variable). Variables should always be declared before use.",5,2,2,2,0,2,2,0,2
"Q: What is the role of a prototype program in problem solving?
A: To lay out the basics and give you a starting point in the actual problem solving.",2,2,0,0,2,1,0,0,1
"Q: How are overloaded functions differentiated by the compiler?
A: not answered",0,0,0,0,0,0,0,0,1
"Q: What is the main difference between strings declared using the type string versus strings declared using an array of characters?
A: string declared used in an array of characters contains each character in the array and a special string-termination character called the null character versus the type string.",5,1,1,1,2,1,1,0,1
"Q: How can you implement a stack with an array?
A: with the element added to the array, so that the last element added is at the end, and when the element is popped it takes the last element off the array",4,1,1,2,2,1,2,0,2
"Q: What is a leaf?
A: a leaf is a node that has no children nodes",5,1,1,1,1,1,1,0,2
"Q: What is the main difference between strings declared using the type string versus strings declared using an array of characters?
A: They're basically the same, however, a string ends w/ a null character, denoting the end of the string (and the size). A char array has potential to be any size, so it must be declared or limited.",4,2,1,2,0,2,2,0,2
"Q: What is the difference between an array that is declared as static and one that is not?
A: Arrays declared as static are not created and initialized when a function is called and destroyed when the function terminates.",5,0,0,1,1,1,0,0,1
"Q: What is the stack operation corresponding to the enqueue operation in queues?
A: push",5,1,1,1,1,1,1,0,1
"Q: What is the base case for a recursive implementation of merge sort?
A: O(nlog(n))",2,0,0,0,0,0,0,0,1
"Q: What are the similarities between iteration and recursion?
A: anything you can do iterativly you can do recursively",3,2,0,1,2,2,2,0,1
"Q: What is a function signature?
A: fuction name and parameters",5,2,2,2,2,1,2,0,1
"Q: How many constructors can be created for a class?
A: As many as you want so long as they have different parameters.",5,1,1,2,1,1,1,0,1
"Q: How are overloaded functions differentiated by the compiler?
A: The compiler selects proper function to execute based on number, types and order of arguments in the function call.",5,1,2,2,1,1,1,0,1
"Q: How are arrays passed to functions?
A: the same way but with [] at the declaration and the actual function.",3,0,0,0,0,2,0,0,2
"Q: What is the role of a prototype program in problem solving?
A: Prototype programming is an approach to programming that enables one to take an organized approach to developing an effective program with minimal errors and a strategic pattern when solving a problem. i.e. book gave an example of a costumer withdrawing money from a bank, the approach that was taking on a pseudo code level during the OOA/Design lvl before proceeding into creating a solution.",2,0,0,0,0,2,0,0,0
"Q: How are infix expressions evaluated by computers?
A: The infix expression is converted to postfix form",5,2,0,1,1,1,2,0,1
"Q: What is the main advantage of arrays over linked lists?
A: Arrays require less memory than linked lists and allow direct access to a specified item. Also, insertion and deletion in arrays does not require a list traversal.",4,0,2,1,0,2,0,0,2
"Q: What is the Euler tour traversal of a tree?
A: to traverse going down to the left then go to the right of last children and back to the top.. kind of like going around the tree",5,0,0,2,0,1,0,0,2
"Q: What is the difference between an array that is declared as static and one that is not?
A: Arrays declared static can not be changed.  One not declared static can be altered.",2,0,0,2,0,2,0,0,1
"Q: What is typically included in a class definition?
A: The attributes of said class. Also whether or not it is a subclass. Also whether it is public private or protected.",4,2,0,1,2,2,0,0,1
"Q: How can you implement a queue with a list?
A: a queue can be implemented in a list by keeping track of two pointers, a head and a tail",4,2,0,1,2,1,0,0,1
"Q: How do you delete a node from a binary search tree?
A: pointer to the child and delete it has 2 children set the node to the child and delete it. the node to th middle will then take its place",3,0,0,0,0,2,0,0,0
"Q: What is the scope of global variables?
A: Global variables all have file scope.",5,1,1,1,1,1,1,0,1
"Q: In one sentence, what is the main idea implemented by insertion sort?
A: The sorted array or list is built one entry at a time.",4,2,0,2,0,1,0,0,1
"Q: What is the Euler tour traversal of a tree?
A: Traversing a tree down to it's terminal child and then all of it's siblings, then it traverses up the terminal child's parent and all of it's siblings (repeating the first step if those siblings have children) until the root node has been visited.",4,0,0,2,0,1,0,0,2
"Q: What does the address (&) operator return?
A: The memory address of operand, 0x000000 or something along those lines.",4,2,1,1,2,1,2,2,2
"Q: What is the difference between a circular linked list and a basic linked list?
A: Circular linked lists are most useful for describing naturally circular structures, and have the advantage of regular structure and being able to traverse the list starting at any point.",2,0,0,1,2,0,0,2,1
"Q: What are the two different ways of specifying the length of an array?
A: with a number and with a variable",3,0,0,0,0,2,0,0,1
"Q: What is the role of a prototype program in problem solving?
A: A program that stimulates the behavior of portions of the desired software product.",5,0,0,0,0,1,0,0,1
"Q: What is typically included in a class definition?
A: A class definition usually contains the function and its data members",5,2,1,2,2,1,2,0,1
"Q: What is a queue?
A: Its like a stack, but uses the linked list to stack a little differently. It's FIFO so the first thing enqueued is the first thing dequeued",5,2,2,2,2,2,2,0,2
"Q: What is a recursive function?
A: a function that calls itself until a base case is met",5,1,1,1,1,1,1,0,1
"Q: How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?
A: all of them.",4,0,0,2,0,1,0,0,1
"Q: What is a recursive function?
A: a function that calls on itself and uses a base case to stop the recursion",5,1,1,1,1,1,1,2,1
"Q: What is the difference between a function prototype and a function definition?
A: A prototype only declares name, return type, and input type. A definition also defines the scope, variables, process, and return function",4,2,2,2,2,1,2,0,1
"Q: What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?
A: n-1",4,0,0,1,2,1,0,0,1
"Q: What is a variable?
A: a block of memory that holds a specific type of data",5,1,1,1,1,1,1,0,1
"Q: What is the main difference between a string of characters that is read into a variable of type string versus a variable of type char[]?
A: when the characters are put in a char array, there is also a null terminating character added to the end, '\0'",5,1,1,1,1,1,1,0,1
"Q: What is a recursive function?
A: function that calls it self till the base case is met",5,1,1,1,1,1,1,0,1
"Q: What is the advantage of linked lists over arrays?
A: Linked lists may be dynamically grown.",5,1,1,1,1,1,1,0,1
"Q: How are objects initialized when they are created?
A: They are initialized with a constructor.",5,1,1,1,1,1,1,0,1
"Q: Where do C++ programs begin to execute?
A: in the ""main"" function",5,1,1,1,1,1,1,1,1
"Q: What is the main difference between a string of characters that is read into a variable of type string versus a variable of type char[]?
A: A string type string acts as a single object, with individual char entities accessible only through specific string class functions. A char array is less robust, but allows direct access to specific char entities.",3,0,0,1,2,2,2,0,1
"Q: How many comparisons does it take to find an element in a binary search tree?
A: At most its equivalent to the height of the tree.",5,1,2,1,2,1,1,0,1
"Q: What is the role of a header-file?
A: A header file consists of ""reusable"" source code such as a class in a file that by convention has a .h filename extension. This differs from .cpp files that contain ""source-code.""",4,2,0,1,2,1,0,0,1
"Q: What is a variable?
A: Variable is a location in the computer's memory, in which a value can be stored and later can retrieve that value.",5,1,1,1,1,1,1,0,2
"Q: What are the access-specifiers that can be used in a C++ class definition?
A: functions and data members can be given access-specifications of public, private, and friend. public access is given to any functions or members not given specific access rights.",5,0,2,0,0,1,0,0,2
"Q: What is the stack operation corresponding to the enqueue operation in queues?
A: Push in a stack operation corresponds to the enqueue operation in queues.  These operations insert a new item into one end(the top and back, respectively) of the ADT.",5,1,1,1,1,1,1,1,1
"Q: What is the alternative way to solve a problem that could be solved through recursive functions?
A: iterative functions",5,1,1,2,1,1,1,0,1
"Q: How do you delete a node from a binary search tree?
A: delete node;",2,0,0,0,0,1,0,0,1
"Q: What is the difference between a constructor and a function?
A: A constructor initialized values at the execution of its instantiation. It provides default values.",4,2,0,1,2,2,0,0,1
"Q: When does C++ create a default constructor?
A: when no user-defined constructor exists",5,1,2,1,1,1,1,0,1
"Q: What is the role of a header-file?
A: Allow compiler to recognize the classes when used elsewhere",3,2,0,1,2,1,0,0,1
"Q: What is a pointer?
A: A pointer is a variable that stores the address of another variable.",5,1,1,1,1,1,1,0,1
"Q: What is the main disadvantage of a doubly-linked list over a basic linked list?
A: each node requires an extra pointer, taking up more storage.  insertions and deletions require more pointer operations.",5,1,1,1,1,1,1,2,1
"Q: When defining a recursive function, what are possible causes for infinite recursion?
A: Not having a base case that returns a base value.",4,1,2,1,1,1,2,0,1
"Q: How does the compiler handle inline functions?
A: It replaces all instances of that function call with the inline code itself, resulting in longer but faster programs.",5,1,1,1,1,1,1,2,1
"Q: What are the different ways to pass a pointer to a function?
A: by address &bPtr or directly bPtr.",2,0,0,0,0,0,0,0,1
"Q: What operations would you need to perform to find a given element on a stack?
A: Iterate through the stack, checking the number against the current element.",2,0,0,0,0,2,0,0,1
"Q: What is the experimental approach for measuring the running time of an algorithm?
A: the number of times a specific segments get called per unit work.",3,0,0,0,0,0,0,0,1
"Q: How does the compiler handle inline functions?
A: When the compiler inline-expands a function call, the function's code gets inserted into the caller's code stream (conceptually similar to what happens with a #define macro). This can, depending on a zillion other things, improve performance, because the optimizer can procedurally integrate the called code — optimize the called code into the caller.",4,1,1,1,1,1,1,1,1
"Q: How are infix expressions evaluated by computers?
A: in postfix format",4,0,0,1,0,1,0,0,1
"Q: How can an array be addressed in pointer/offset notation?
A: The array itself can be signed to a pointer or each element of the array can be assigned to a pointer.",3,0,0,0,0,0,0,0,1
"Q: What is the inorder traversal of a binary tree?
A: Inorder traversal of a binary tree will retrieve start at the furthest left hand leaf and checks it, it’s parent, and it’s right side sibling, then it goes up a level and repeats until it gets to the root.",4,0,0,0,0,1,0,0,2
"Q: When defining a recursive function, what are possible causes for infinite recursion?
A: it has no base case, or the base case is never met",5,1,1,1,1,1,1,0,1
"Q: What is a pointer?
A: A pointer is an alias to an object in memory.",4,0,0,0,0,1,0,0,1
"Q: What are the main advantages associated with object-oriented programming?
A: This type of programming is more flexible, making it easier to add and modify the program.  It is also a type of a fail safe program, you check each individual module.  This eliminates redundant code and makes the program easier to read for other programmers.  When debugging the program it is easier to track down the source of a problem within a module rather than a 2 million line program.",5,2,0,0,2,1,2,2,2
"Q: What is a pointer?
A: A pointer is a reference to the memory location of an object.",4,0,0,0,0,1,0,0,1
"Q: What is a variable?
A: A variable is a location in a computers memory where a value can be stored   for use by a program.",5,1,1,1,1,1,1,0,2
"Q: How does the compiler handle inline functions?
A: The compiler can ignore the inline qualifier and typically does so for all but the smallest functions.",2,2,0,1,1,1,2,0,1
"Q: What are the different ways to pass a pointer to a function?
A: They can be passed by value or by reference",2,0,0,0,0,0,0,0,1
"Q: How does the compiler handle inline functions?
A: If the function is small enough it will expand it but it will run faster as it will avoid making so many calls to the function.",4,1,1,1,1,1,1,2,1
"Q: What is the role of a prototype program in problem solving?
A: It simulates the behavior of portions of the desired software product.",5,1,1,1,1,1,1,0,1
"Q: What are the main operations associated with a stack?
A: push and pop",5,1,1,1,1,1,1,0,1
"Q: What is the difference between a data member and a local variable inside a member function?
A: Local variables cannot be used outside of that function body. When a function terminates the values of its local variables are lost. Where as data members are variables in a class definition, and they exist throughout the life of the object.",5,1,2,1,1,1,1,2,1
"Q: What is the main advantage of a doubly-linked list over a basic linked list?
A: You can go backwards in the linked list and access previous data easier without having to keep track of the previous item",4,2,0,1,2,1,0,0,1
"Q: How does the compiler handle inline functions?
A: The compiler can ignore the inline qualifier and typically does so for all but the smallest functions.",3,2,0,1,1,1,2,0,1
"Q: What is the main difference between a string of characters that is read into a variable of type string versus a variable of type char[]?
A: a string of characters will have a null character or value at the end of the string",5,0,0,2,0,2,0,0,1
"Q: What is the base case for a recursive implementation of merge sort?
A: n * log( n )",2,0,0,0,0,0,0,0,1
"Q: What is the main advantage of arrays over linked lists?
A: You can go up and down an array , but you can only go one direction while traversing a linked list.",3,0,0,0,0,2,0,0,1
"Q: How can you implement a queue with a list?
A: you would have your list and add a back pointer so that your program knows where the end is",4,2,0,2,2,1,0,0,1
"Q: How does the compiler handle inline functions?
A: The compiler can ignore the inline qualifier and typically does so for all but the smallest functions.",3,2,0,1,1,1,2,0,1
"Q: What is the inorder traversal of a binary tree?
A: The inorder traversal of a binary tree visits the node of a binary tree in order according to their data values.",2,0,0,0,0,0,0,0,1
"Q: What is a recursive function?
A: A recursive function solves a problem by repeatedly calling itself. the initial problem is broken into successively smaller parts until a much simpler base case is reached. the solutions to each piece of the problem are then returned a step at a time.",5,1,1,1,1,1,1,2,1
"Q: What are the two main functions defined by a stack?
A: push ( to add to a item the Stack) Pop  ( to pull the last item added from an array. )",5,1,1,2,2,1,2,2,2
"Q: What is a tree?
A: A tree is a branched data structure with nodes, and leaves... a special node called root has no parent node, but however like all other nodes can and does have 2 nodes that it links to, namely one on the right, and one on the left.",4,0,0,2,0,2,0,0,2
"Q: What is the height of a tree?
A: the number of generations or levels the tree has",4,0,0,1,0,1,0,0,1
"Q: Briefly describe the divide-and-conquer paradigm.
A: The divide-and-conquer technique is where it takes the sorting algorithm and breaks up the array into smaller elements of the array to tackle the problem and run the algorithm.",4,0,0,0,0,2,0,0,2
"Q: What does the sizeof operator return?
A: the size in bytes needed to store the object in memory",4,1,1,2,2,1,1,0,2
"Q: Briefly describe in one sentence how does merge sort work?
A: Merge sort takes an array and splits it in half and sends each half back to itself recursively and merges and sorts the two halves when it starts going back up.",5,1,1,1,1,1,1,0,2
"Q: What is the role of a prototype program in problem solving?
A: Defined in the Specification phase a prototype stimulates the behavior of portions of the desired software product.  Meaning, the role of a prototype is a temporary solution until the program itself is refined to be used extensively in problem solving.",5,1,1,1,2,1,1,2,2
"Q: What operations would you need to perform to find a given element on a stack?
A: Keep popping nodes and storing them in an alternate stack until the given element is found, then pop the given element and push the previously popped nodes back onto the stack.",5,1,1,1,1,1,1,0,1
"Q: What is the role of a prototype program in problem solving?
A: It tests the main function of the program while leaving out the finer details.",2,2,0,1,1,1,0,0,1
"Q: Briefly, how does selection sort work?
A: Selection sort searches the array for the lowest value and swaps it with the first value in the array. Then searches for the next lowest value and swaps it with the second item in the array, and so on.",5,1,1,1,1,1,1,0,1
"Q: What does the address (&) operator return?
A: This operator returns the memory address of its operand.",5,1,1,1,1,1,1,0,1
"Q: What is a stack?
A: An ADT whose most recently inserted item is the first item removed or retrieved. This property is called last in, first out (LIFO). Items enter and leave a stack at its top.",5,1,1,1,1,1,1,2,1
"Q: What is the main difference between strings declared using the type string versus strings declared using an array of characters?
A: if by type string, the array contains an additional terminating null character",4,2,2,1,0,1,2,0,2
"Q: Where are variables declared in a C++ program?
A: global variables are declared in the main function local variables are declared in any other function",4,0,2,1,0,1,0,0,1
"Q: What is a function signature?
A: It is what uniquely separates overloaded functions. It includes the return type, and the parameter list of the function.",5,0,0,1,1,1,2,0,1
"Q: How can you implement a stack with an array?
A: You allocate an pre-defined array, the bottom element is stored at element 0, and the last index is the head.",4,0,0,0,0,2,0,0,2
"Q: What is the role of a prototype program in problem solving?
A: The role of a prototype program is to help spot key problems that may arise during the actual programing.",2,2,0,2,2,1,0,0,1
"Q: What does a function signature include?
A: the name of the function and the types of its arguments",5,1,1,2,1,1,1,0,1
"Q: What stages in the software life cycle are influenced by the testing stage?
A: Elaboration, Construction, and Transition are all affected by testing",2,2,0,1,1,1,2,0,1
"Q: What are the two main functions defined by a queue?
A: Remove the item added first, add items to the back.",5,2,1,0,1,1,1,2,1
"Q: What is the height of a tree?
A: Each level of a generation in the tree, some people do not count the root as a generation",4,0,0,0,0,0,0,0,0
"Q: What is the inorder traversal of a binary tree?
A: Left Child -&gt; Parent -&gt; Right Child",5,1,1,2,2,1,2,0,1
"Q: How many comparisons does it take to find an element in a binary search tree?
A: This is on the runtime order of log(n) where n is the number of nodes in the binary tree.",5,2,2,1,2,1,2,0,1
"Q: What is the role of a header-file?
A: “Instruct” the compiler on how to interface with library and user-written components.",2,2,0,2,2,1,0,0,1
"Q: What does the sizeof operator return?
A: The byte size of the date stored ina variable.",4,0,0,0,0,1,0,0,2
"Q: When defining a recursive function, what are possible causes for infinite recursion?
A: improper handling of cases such that not all possible values are able to be handled.",4,2,0,0,0,1,0,0,1
"Q: What is the main difference between a while and a do...while statement?
A: A while loop will check the statement to make sure it is true before executing. A do while loop will execute before checking the statement to see if it should run again.",5,1,1,1,1,1,1,0,1
"Q: What is the alternative way to solve a problem that could be solved through recursive functions?
A: you can also solve the problem iteratively",5,1,1,1,1,1,1,0,1
"Q: What is the difference between an array declared as static, and one that is not?
A: An array declared as static is available from beginning of program to end. One w/o static declaration disappears if it is not accessed within the right scope.",4,1,2,2,2,1,2,0,1
"Q: What is typically included in a class definition?
A: Data and functions",4,1,2,0,2,1,2,0,1
"Q: What is the advantage of linked lists over arrays?
A: A link list can grow to a infinite size as a array has a fixes size.",5,1,1,2,2,1,1,0,1
"Q: What is a stack?
A: A stack is an ADT that stores a set of elements in a particular order.",2,2,0,2,0,1,0,0,1
"Q: What are the two different ways of specifying the length of an array?
A: within the brackets or by using an initializer list.",5,2,1,2,2,1,1,0,1
"Q: What is the height of a tree?
A: The height of a tree is the number of nodes on the longest path from the root to a leaf.",5,2,1,1,1,1,2,0,1
"Q: What is the difference between an array declared as static, and one that is not?
A: not answered",0,0,0,0,0,0,0,0,0
"Q: What is a binary tree?
A: a binary tree is a special search tree where each node has either 2, 1, or 0 children",4,0,0,0,0,0,0,0,2
"Q: In one sentence, what is the main idea implemented by insertion sort?
A: have a marker and sort everything to the left of the value for every new value when moving to the right.",3,0,2,0,0,1,0,0,1
"Q: Briefly describe in one sentence how does merge sort work?
A: A merge sort recursively divides the array into half until only one element remains, then it sorts the data on its way out of the recursive call by merging the cells.",5,1,1,1,1,1,1,0,1
"Q: What is a function signature?
A: a function signature should include the name of the function, parameters, and a body.",4,0,0,2,0,2,0,0,1
"Q: Briefly describe the divide-and-conquer paradigm.
A: Divide the big problem into small problem, solve small problem and join small solved elements of the problem. if there is two ore more elements in the array, divide the array into parts and compare the elements, after comperison, conquer the elements. If array have n element, first half have n/2 elements",5,2,2,2,0,2,0,0,0
"Q: What are the two main functions defined by a queue?
A: enqueue and dequeue",5,1,1,1,1,1,1,1,1
"Q: What is a queue?
A: A queue is a data structure that inserts data into a FIFO configuration, that is, data input to the structure is always at it's end, and data taken is always from the beginning.",5,1,2,2,1,1,1,2,1
"Q: What is the Euler tour traversal of a tree?
A: Euler tour traversal of a tree traverses down each branch straight to one leaf then starts again at the root and repeats until all elements have been traversed.",4,0,0,0,0,1,0,0,1
"Q: How can you implement a stack with a list?
A: Create a new list.  Pop elements in the stack as needed.  Push the stack to remove items, unless the stack is empty.  The top item is at the head of the list. The last item is at the end.",4,0,0,0,0,2,0,0,1
"Q: How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?
A: when passing (in main) a multidimensional array to a function, no dimensions need be specified",2,0,0,2,2,1,0,0,1
"Q: What is the inorder traversal of a binary tree?
A: you would go to the furthest down left most node, then to the root then to the right (if left and right exist) then you would return one node previous and do the same until you reached the root, then go to the furthest down left most node on the right side of the root and continue this process",5,2,2,0,0,1,2,2,0
"Q: Briefly, how does selection sort work?
A: by selecting the first object and comparing it with the next objects to find one that is smaller, if it does it switches the two.  then it comes back the other way and sees if the objects previous to the last one is greater, if it does it switches them.  it does this while decreasing the range it looks at until it finishes in the middle.",2,0,0,2,0,0,0,0,1
"Q: What are the elements typically included in a class definition?
A: A class definition typically includes the class name, the classes constructor(s), and any extra functions and class variables.",4,2,1,2,2,1,1,0,2
"Q: What is a leaf?
A: a leaf is a node with no children",5,1,1,1,1,1,1,0,1
"Q: What is the scope of global variables?
A: Global variables have a file scope",5,1,1,1,1,1,1,1,1
"Q: How are objects initialized when they are created?
A: they are initialized to a value dependent on the compiler",1,0,0,0,0,2,0,0,1
"Q: What does the sizeof operator return?
A: The amount of memory required for a specific parameter such as ints, doubles.",4,2,2,0,2,1,2,2,1
"Q: How can you implement a queue with an array?
A: you could use the first element of the list as the remove point and insert at the end f you do this you would have to shift the elements down each time you remove an item unless you make the array circular.",4,1,2,2,2,1,2,0,1
"Q: What does the sizeof operator return?
A: sizeof returns the size in bytes of the respective object.",4,2,1,2,2,1,1,0,1
"Q: What is the difference between a circular linked list and a basic linked list?
A: In the case of a non circular link list, if you are at the last node of the list and u want to move to first u need to go to one, step back till u reach to first. But in circular link list from last to first you need to make only one move.  In a single link list u can move only in one direction but in double link list u can move in any direction back or forward or forward.",4,0,0,2,0,0,0,0,0
"Q: What are the different ways to pass a pointer to a function?
A: Pass by reference with reference arguments. function(int &)  Pass by reference with pointer arguments. function(int *)",2,0,0,2,2,0,0,2,1
"Q: What is a linked list?
A: A linked list is a list in which each item in the list points to the next item in the list.",4,1,0,1,1,1,2,0,1
"Q: What is a pointer?
A: A pointer is a variable that holds the address of a given variable (and of a given data type)",5,1,1,1,1,1,1,2,1
"Q: What is a function pointer?
A: A pointer that points to the memory address of the beginning part of a functions.  pretty much the pointer points to the function so it can be called to execute.",5,1,1,2,1,1,1,2,2
"Q: How can an array be addressed in pointer/offset notation?
A: Element A[n] can be accessed by *(APtr + n)",4,1,2,1,2,1,2,1,1
"Q: What is a function signature?
A: its return type and its input parameters",5,0,0,2,0,2,0,0,1
"Q: What is the main difference between strings declared using the type string versus strings declared using an array of characters?
A: array of characters need a termination character as well as size specification whether its explicit or implicit.",5,1,1,1,1,2,1,0,2
"Q: How can an array be addressed in pointer/offset notation?
A: by referencing a pointer and referring to other pointers relative to the first pointer(pointer+1, pointer +2, etc)",3,2,2,0,0,1,2,2,1
"Q: How can you implement a stack with a list?
A: Use the head as the top of the stack, only modify the head when you push/pop... push would add a new item to the head, pop would remove the item from the head.",4,1,1,1,1,1,1,0,1
"Q: What are the main operations associated with a stack?
A: Push() Pop() Full() IsEmpty()",5,2,1,1,1,1,2,0,1
"Q: What is the alternative way to solve a problem that could be solved through recursive functions?
A: Using an iterative function, which repeats a specified operation or set of operations until a terminating point or base case is reached.",5,1,1,1,1,1,1,2,1
"Q: What is the main advantage of a doubly-linked list over a basic linked list?
A: You can traverse forwards and backwards through nodes.",4,2,0,1,2,2,0,0,1
"Q: Briefly, how does selection sort work?
A: Selection sort sorts an array one element at at time. It first finds the element with the smallest key and puts it into the first location within its array or list, then finds the next smallest and puts it in the second location, and so on.",5,1,1,1,1,1,1,0,2
"Q: What are the access-specifiers that can be used in a C++ class definition?
A: public and private",5,1,1,1,1,1,1,0,1
"Q: What operations would you need to perform to find a given element on a stack?
A: you would have to traverse the stack popping each element to search it",4,2,0,1,2,1,0,0,1
"Q: What are the two different ways of specifying the length of an array?
A: 1-Initializing an array in a declaration with an initializer list 2-Specifying an arrays size with a constant variable",5,1,2,1,1,1,1,0,1
"Q: What is the difference between an array that is declared as static and one that is not?
A: Values in an array that is not delcared as static will remain constant.  When an array is declared const values within the array can be manipulated.",2,0,0,0,0,0,0,0,2
"Q: What are the elements typically included in a class definition?
A: constructor, and function definitions.",3,2,2,1,1,1,2,0,1
"Q: What is the main advantage associated with function arguments that are passed by reference?
A: It is more efficient and it changes the variable not online inside the function but outside so that the new value can be used elsewhere.",3,1,2,2,2,1,2,0,1
"Q: What does a function signature include?
A: A function signature includes the name of the function and the types of its arguments",5,1,1,2,1,1,1,0,1
"Q: What are the access-specifiers that can be used in a C++ class definition?
A: public, private, protected",5,1,1,1,1,1,1,0,1
"Q: What is the difference between a data member and a local variable inside a member function?
A: A data member is part of a C++ class or structure that stores data of a certain type... A local variable inside a member function is only available inside that function, and can be used to derive a desired outcome.",4,2,2,1,2,2,2,0,2
"Q: How can you implement a stack with a list?
A: Declare a pointer that points to the head of the linked list, only add and remove nodes from the beginning of the list.",5,1,1,1,1,1,1,0,1
"Q: What does the sizeof operator return?
A: the number of bytes of an array during program compilation.",4,0,0,0,0,1,0,0,1
"Q: What is the difference between a circular linked list and a basic linked list?
A: in a circular linked list the last element points to the head of the list",5,1,1,1,1,1,1,0,1
"Q: How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?
A: all but the first",5,1,1,1,1,1,1,0,1
